Case_number,District_name,Week_day,Year,Month,Day_month,Time,Type_of_vehicle,Sex,Age,Person_type,Injury_severity,Day,Holiday,Vacation_day,Numero_expedient_count,Number of victims,Slightly injured,Severely injured,Weekend Exists,Season,Density,TM,HRM,PM,PPT,RS24h,VVM10,Time_segment
2021S000073    ,Sants-Montjuïc,Wednesday,2021,1,6,9,Tourism,Woman,50,Pedestrian,2,06/01/2021,Not Holiday,False,2,0,0,1,False,Winter,0,6.5,61,1010.0,0.0,7.4,1.3,6-14
2021S000074    ,Nou Barris,Wednesday,2021,1,6,11,Bus,Woman,63,Passenger,2,06/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,6.5,61,1010.0,0.0,7.4,1.3,6-14
2021S000075    ,Eixample,Wednesday,2021,1,6,15,Bicycle,Woman,35,Driver,1,06/01/2021,Not Holiday,False,2,0,1,0,False,Winter,1,6.5,61,1010.0,0.0,7.4,1.3,14-22
2021S000076    ,Sant Martí,Wednesday,2021,1,6,13,Ciclomotor,Man,36,Driver,1,06/01/2021,Not Holiday,False,1,0,1,0,False,Winter,1,6.5,61,1010.0,0.0,7.4,1.3,6-14
2021S000077    ,Sants-Montjuïc,Wednesday,2021,1,6,22,Motorcycle,Man,19,Pedestrian,2,06/01/2021,Not Holiday,False,1,0,0,1,False,Winter,0,6.5,61,1010.0,0.0,7.4,1.3,22-6
2021S000079    ,Les Corts,Thursday,2021,1,7,7,Motorcycle,Man,59,Driver,2,07/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,6-14
2021S000080    ,Horta-Guinardó,Thursday,2021,1,7,7,Motorcycle,Man,54,Driver,2,07/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,6-14
2021S000081    ,Eixample,Thursday,2021,1,7,10,Motorcycle,Man,37,Driver,0,07/01/2021,Not Holiday,False,1,0,1,0,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,6-14
2021S000082    ,Eixample,Thursday,2021,1,7,11,Tourism,Man,48,Driver,2,07/01/2021,Not Holiday,False,3,0,0,1,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,6-14
2021S000083    ,Horta-Guinardó,Thursday,2021,1,7,10,Ciclomotor,Woman,26,Driver,2,07/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,6-14
2021S000084    ,Sant Martí,Thursday,2021,1,7,15,Motorcycle,Woman,23,Driver,2,07/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,14-22
2021S000086    ,Sants-Montjuïc,Thursday,2021,1,7,18,Veh. motor personal mobility,Man,43,Driver,2,07/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,14-22
2021S000087    ,Sant Martí,Thursday,2021,1,7,18,Tourism,Woman,11,Passenger,2,07/01/2021,Not Holiday,False,3,0,0,1,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,14-22
2021S000088    ,Horta-Guinardó,Thursday,2021,1,7,19,Motorcycle,Man,29,Driver,2,07/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,14-22
2021S000089    ,Sants-Montjuïc,Thursday,2021,1,7,16,Ciclomotor,Man,31,Driver,1,07/01/2021,Not Holiday,False,1,0,1,0,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,14-22
2021S000090    ,Les Corts,Thursday,2021,1,7,21,Motorcycle,Man,17,Driver,1,07/01/2021,Not Holiday,False,1,0,1,0,False,Winter,0,6.5,64,1009.8,1.6,3.3,1.5,14-22
2021S000091    ,Eixample,Thursday,2021,1,7,19,Motorcycle,Man,23,Driver,2,07/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,14-22
2021S000092    ,Sant Martí,Thursday,2021,1,7,19,Bicycle,Woman,34,Driver,1,07/01/2021,Not Holiday,False,1,0,1,0,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,14-22
2021S000093    ,Eixample,Thursday,2021,1,7,19,Motorcycle,Woman,39,Driver,2,07/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,14-22
2021S000094    ,Sant Andreu,Friday,2021,1,8,8,Veh. motor personal mobility,Woman,31,Driver,1,08/01/2021,Not Holiday,False,1,0,1,0,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,6-14
2021S000095    ,Sants-Montjuïc,Friday,2021,1,8,9,Tourism,Woman,41,Driver,2,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,6-14
2021S000096    ,Sant Martí,Thursday,2021,1,7,21,Motorcycle,Man,45,Driver,2,07/01/2021,Not Holiday,False,1,0,0,1,False,Winter,0,6.5,64,1009.8,1.6,3.3,1.5,14-22
2021S000097    ,Horta-Guinardó,Friday,2021,1,8,8,Motorcycle,Woman,25,Driver,2,08/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,6-14
2021S000098    ,Ciutat Vella,Friday,2021,1,8,11,Ciclomotor,Man,26,Driver,1,08/01/2021,Not Holiday,False,1,0,1,0,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,6-14
