Week_day,Year,Month_name,Day_month,Injury_severity,Time_segment,Vacation_day,Number of victims,Slightly injured,Severely injured,Weekend Exists,Season,Density,TM,HRM,PM,PPT,RS24h,VVM10,Number of victims by time segment,Exceeds_Threshold
Friday,2021,February,5,2,Morning,False,0,2,3,True,Winter,1,13.2,81,1006.0,0.0,9.8,2.5,6,True
Friday,2021,February,5,2,Work Departure,False,0,0,8,True,Winter,1,13.2,81,1006.0,0.0,9.8,2.5,8,True
Friday,2021,February,5,2,Afternoon,False,0,2,3,True,Winter,1,13.2,81,1006.0,0.0,9.8,2.5,6,True
Friday,2021,February,5,2,Leisure,False,0,0,1,True,Winter,1,13.2,81,1006.0,0.0,9.8,2.5,1,False
Saturday,2021,February,6,2,Work Entrance,True,0,1,2,False,Winter,1,14.9,72,997.5,0.0,9.1,2.5,3,False
Saturday,2021,February,6,2,Morning,True,0,1,4,False,Winter,1,14.9,72,997.5,0.0,9.1,2.5,5,True
Saturday,2021,February,6,2,Work Departure,True,0,1,3,False,Winter,1,14.9,72,997.5,0.0,9.1,2.5,5,True
Saturday,2021,February,6,3,Leisure,True,0,0,3,False,Winter,0,14.9,72,997.5,0.0,9.1,2.5,4,True
Sunday,2021,February,7,2,Early Morning,True,0,0,1,False,Winter,0,11.7,65,998.7,2.1,8.1,1.8,2,False
Sunday,2021,February,7,2,Morning,True,0,0,1,False,Winter,1,11.7,65,998.7,2.1,8.1,1.8,1,False
Sunday,2021,February,7,2,Work Departure,True,0,1,1,False,Winter,1,11.7,65,998.7,2.1,8.1,1.8,2,False
Sunday,2021,February,7,2,Afternoon,True,0,0,1,False,Winter,1,11.7,65,998.7,2.1,8.1,1.8,2,False
Sunday,2021,February,7,1,Leisure,True,0,1,0,False,Winter,0,11.7,65,998.7,2.1,8.1,1.8,2,False
Monday,2021,February,8,2,Work Entrance,False,0,0,3,False,Winter,1,11.7,64,996.1,7.7,4.7,1.9,3,False
Monday,2021,February,8,2,Morning,False,0,3,4,False,Winter,1,11.7,64,996.1,7.7,4.7,1.9,7,True
Monday,2021,February,8,2,Work Departure,False,0,0,5,False,Winter,1,11.7,64,996.1,7.7,4.7,1.9,8,True
Monday,2021,February,8,2,Afternoon,False,0,1,1,False,Winter,1,11.7,64,996.1,7.7,4.7,1.9,2,False
Tuesday,2021,February,9,2,Work Entrance,False,0,1,2,False,Winter,2,12.7,62,999.2,0.0,5.5,3.2,5,True
Tuesday,2021,February,9,2,Morning,False,0,0,2,False,Winter,1,12.7,62,999.2,0.0,5.5,3.2,2,False
Tuesday,2021,February,9,2,Work Departure,False,0,2,3,False,Winter,1,12.7,62,999.2,0.0,5.5,3.2,6,True
Tuesday,2021,February,9,2,Afternoon,False,0,2,7,False,Winter,1,12.7,62,999.2,0.0,5.5,3.2,9,True
Wednesday,2021,February,10,2,Work Entrance,False,0,3,5,False,Winter,1,13.0,53,1002.2,0.1,9.1,3.2,9,True
Wednesday,2021,February,10,2,Morning,False,0,3,5,False,Winter,1,13.0,53,1002.2,0.1,9.1,3.2,9,True
Wednesday,2021,February,10,2,Work Departure,False,0,2,4,False,Winter,1,13.0,53,1002.2,0.1,9.1,3.2,7,True
Wednesday,2021,February,10,2,Afternoon,False,0,2,5,False,Winter,2,13.0,53,1002.2,0.1,9.1,3.2,7,True
Thursday,2021,February,11,2,Work Entrance,False,0,1,2,False,Winter,1,13.2,55,1012.9,0.0,13.4,1.8,4,True
Thursday,2021,February,11,2,Morning,False,0,3,2,False,Winter,2,13.2,55,1012.9,0.0,13.4,1.8,5,True
Thursday,2021,February,11,2,Work Departure,False,0,1,2,False,Winter,1,13.2,55,1012.9,0.0,13.4,1.8,5,True
Thursday,2021,February,11,2,Afternoon,False,0,0,3,False,Winter,1,13.2,55,1012.9,0.0,13.4,1.8,3,False
Friday,2021,February,12,1,Work Entrance,False,0,1,0,True,Winter,1,12.8,78,1011.2,0.1,5.8,1.1,1,False
Friday,2021,February,12,2,Morning,False,0,5,2,True,Winter,1,12.8,78,1011.2,0.1,5.8,1.1,7,True
Friday,2021,February,12,2,Work Departure,False,0,5,6,True,Winter,1,12.8,78,1011.2,0.1,5.8,1.1,15,True
Friday,2021,February,12,2,Afternoon,False,0,3,5,True,Winter,1,12.8,78,1011.2,0.1,5.8,1.1,10,True
Friday,2021,February,12,1,Leisure,False,0,1,0,True,Winter,1,12.8,78,1011.2,0.1,5.8,1.1,1,False
Saturday,2021,February,13,2,Morning,True,0,3,3,False,Winter,1,13.1,79,1018.9,0.0,13.7,2.1,7,True
Saturday,2021,February,13,2,Work Departure,True,0,1,5,False,Winter,1,13.1,79,1018.9,0.0,13.7,2.1,7,True
Saturday,2021,February,13,2,Afternoon,True,0,0,4,False,Winter,1,13.1,79,1018.9,0.0,13.7,2.1,5,True
Saturday,2021,February,13,2,Leisure,True,0,0,2,False,Winter,0,13.1,79,1018.9,0.0,13.7,2.1,4,True
Sunday,2021,February,14,2,Early Morning,True,0,1,1,False,Winter,0,9.8,75,1029.7,2.8,1.6,2.8,3,False
Sunday,2021,February,14,1,Work Entrance,True,0,1,0,False,Winter,0,9.8,75,1029.7,2.8,1.6,2.8,1,False
Sunday,2021,February,14,2,Morning,True,0,0,1,False,Winter,1,9.8,75,1029.7,2.8,1.6,2.8,1,False
Sunday,2021,February,14,2,Work Departure,True,0,0,1,False,Winter,1,9.8,75,1029.7,2.8,1.6,2.8,2,False
Sunday,2021,February,14,2,Afternoon,True,0,0,4,False,Winter,1,9.8,75,1029.7,2.8,1.6,2.8,7,True
Sunday,2021,February,14,1,Leisure,True,0,1,0,False,Winter,0,9.8,75,1029.7,2.8,1.6,2.8,1,False
Monday,2021,February,15,2,Work Entrance,False,0,2,2,False,Winter,1,10.5,71,1031.1,0.4,2.8,1.3,5,True
Sunday,2021,February,21,2,Work Departure,True,0,0,2,False,Winter,1,13.5,77,1010.7,0.0,6.0,4.9,2,False
Monday,2021,February,15,2,Work Departure,False,0,1,5,False,Winter,1,10.5,71,1031.1,0.4,2.8,1.3,6,True
Monday,2021,February,15,2,Morning,False,0,0,2,False,Winter,1,10.5,71,1031.1,0.4,2.8,1.3,4,True
Monday,2021,February,15,2,Afternoon,False,0,3,1,False,Winter,1,10.5,71,1031.1,0.4,2.8,1.3,4,True
Tuesday,2021,February,16,2,Work Entrance,False,0,2,1,False,Winter,1,12.4,79,1022.7,0.1,7.6,2.8,3,False
Tuesday,2021,February,16,3,Morning,False,0,1,6,False,Winter,1,12.4,79,1022.7,0.1,7.6,2.8,8,True
Tuesday,2021,February,16,3,Work Departure,False,0,0,3,False,Winter,1,12.4,79,1022.7,0.1,7.6,2.8,3,False
Tuesday,2021,February,16,2,Afternoon,False,0,1,5,False,Winter,1,12.4,79,1022.7,0.1,7.6,2.8,7,True
Tuesday,2021,February,16,2,Leisure,False,0,0,1,False,Winter,0,12.4,79,1022.7,0.1,7.6,2.8,1,False
Wednesday,2021,February,17,3,Work Entrance,False,0,1,4,False,Winter,2,12.5,79,1019.1,0.0,13.4,1.6,5,True
Wednesday,2021,February,17,3,Morning,False,0,0,4,False,Winter,1,12.5,79,1019.1,0.0,13.4,1.6,5,True
Wednesday,2021,February,17,2,Work Departure,False,0,0,3,False,Winter,1,12.5,79,1019.1,0.0,13.4,1.6,4,True
Wednesday,2021,February,17,2,Afternoon,False,0,0,4,False,Winter,2,12.5,79,1019.1,0.0,13.4,1.6,4,True
Wednesday,2021,February,17,2,Leisure,False,0,0,1,False,Winter,1,12.5,79,1019.1,0.0,13.4,1.6,1,False
Thursday,2021,February,18,2,Morning,False,0,3,8,False,Winter,1,11.8,82,1015.5,0.0,9.5,1.7,13,True
Thursday,2021,February,18,2,Work Departure,False,0,2,2,False,Winter,1,11.8,82,1015.5,0.0,9.5,1.7,5,True
Thursday,2021,February,18,2,Afternoon,False,0,1,1,False,Winter,1,11.8,82,1015.5,0.0,9.5,1.7,2,False
Thursday,2021,February,18,1,Leisure,False,0,1,0,False,Winter,0,11.8,82,1015.5,0.0,9.5,1.7,2,False
Friday,2021,February,19,2,Early Morning,False,0,0,1,True,Winter,0,11.6,82,1016.4,0.0,11.5,1.7,1,False
Friday,2021,February,19,2,Work Entrance,False,0,1,6,True,Winter,1,11.6,82,1016.4,0.0,11.5,1.7,8,True
Friday,2021,February,19,2,Morning,False,0,0,4,True,Winter,2,11.6,82,1016.4,0.0,11.5,1.7,5,True
Friday,2021,February,19,3,Work Departure,False,0,3,8,True,Winter,2,11.6,82,1016.4,0.0,11.5,1.7,23,True
Friday,2021,February,19,2,Afternoon,False,0,1,3,True,Winter,1,11.6,82,1016.4,0.0,11.5,1.7,6,True
Friday,2021,February,19,2,Leisure,False,0,0,1,True,Winter,1,11.6,82,1016.4,0.0,11.5,1.7,2,False
Saturday,2021,February,20,2,Work Departure,True,0,0,5,False,Winter,1,11.7,78,1016.2,0.0,7.8,1.5,5,True
Saturday,2021,February,20,2,Afternoon,True,0,0,2,False,Winter,1,11.7,78,1016.2,0.0,7.8,1.5,2,False
Saturday,2021,February,20,2,Leisure,True,0,0,1,False,Winter,0,11.7,78,1016.2,0.0,7.8,1.5,1,False
Sunday,2021,February,21,2,Afternoon,True,0,0,4,False,Winter,1,13.5,77,1010.7,0.0,6.0,4.9,6,True
Monday,2021,February,22,2,Work Entrance,False,0,2,3,False,Winter,1,13.6,93,1014.5,10.2,1.8,2.2,7,True
