District_name,Week_day,Month,Time,Sex,Age,Day,Holiday,Time_segment,Number of victims,Slightly injured,Severely injured,Weekend Exit,Season,Density,Weekend Return,Number of accidents by time segment
Sants-Montjuïc,Wednesday,1,22,Man,19,2021-01-06,Yes,Leisure,0,0,1,False,Winter,0,No,1
Les Corts,Thursday,1,7,Man,59,2021-01-07,No,Work Entrance,0,0,1,False,Winter,1,No,2
Horta-Guinardó,Thursday,1,7,Man,54,2021-01-07,No,Work Entrance,0,0,1,False,Winter,1,No,2
Eixample,Thursday,1,10,Man,37,2021-01-07,No,Morning,0,1,0,False,Winter,1,No,3
Horta-Guinardó,Thursday,1,10,Woman,26,2021-01-07,No,Morning,0,0,1,False,Winter,1,No,3
Eixample,Thursday,1,11,Man,48,2021-01-07,No,Morning,0,0,1,False,Winter,1,No,3
Sant Martí,Thursday,1,15,Woman,23,2021-01-07,No,Work Departure,0,0,1,False,Winter,1,No,2
Sants-Montjuïc,Thursday,1,16,Man,31,2021-01-07,No,Work Departure,0,1,0,False,Winter,1,No,2
Sants-Montjuïc,Thursday,1,18,Man,43,2021-01-07,No,Afternoon,0,0,1,False,Winter,1,No,8
Sant Martí,Thursday,1,18,Woman,11,2021-01-07,No,Afternoon,0,0,1,False,Winter,1,No,8
Eixample,Thursday,1,19,Woman,39,2021-01-07,No,Afternoon,0,0,1,False,Winter,1,No,8
Eixample,Thursday,1,19,Man,23,2021-01-07,No,Afternoon,0,0,1,False,Winter,1,No,8
Horta-Guinardó,Thursday,1,19,Man,29,2021-01-07,No,Afternoon,0,0,1,False,Winter,1,No,8
Sant Martí,Thursday,1,19,Woman,34,2021-01-07,No,Afternoon,0,1,0,False,Winter,1,No,8
Les Corts,Thursday,1,21,Man,17,2021-01-07,No,Afternoon,0,1,0,False,Winter,0,No,8
Sant Martí,Thursday,1,21,Man,45,2021-01-07,No,Afternoon,0,0,1,False,Winter,0,No,8
Horta-Guinardó,Friday,1,8,Woman,25,2021-01-08,No,Work Entrance,0,0,1,True,Winter,1,No,4
Sant Andreu,Friday,1,8,Woman,31,2021-01-08,No,Work Entrance,0,1,0,True,Winter,1,No,4
Sants-Montjuïc,Friday,1,9,Woman,41,2021-01-08,No,Work Entrance,0,0,1,True,Winter,1,No,4
Nou Barris,Friday,1,9,Man,44,2021-01-08,No,Work Entrance,0,0,1,True,Winter,1,No,4
Sant Martí,Friday,1,10,Man,55,2021-01-08,No,Morning,0,1,0,True,Winter,1,No,3
Ciutat Vella,Friday,1,11,Man,26,2021-01-08,No,Morning,0,1,0,True,Winter,1,No,3
Sants-Montjuïc,Friday,1,12,Man,46,2021-01-08,No,Morning,0,0,1,True,Winter,1,No,3
Sants-Montjuïc,Friday,1,14,Woman,59,2021-01-08,No,Work Departure,0,0,1,True,Winter,1,No,9
Eixample,Friday,1,14,Man,35,2021-01-08,No,Work Departure,0,0,1,True,Winter,1,No,9
Gràcia,Friday,1,14,Woman,26,2021-01-08,No,Work Departure,0,0,1,True,Winter,1,No,9
Horta-Guinardó,Friday,1,14,Man,52,2021-01-08,No,Work Departure,0,0,1,True,Winter,1,No,9
Eixample,Friday,1,15,Man,25,2021-01-08,No,Work Departure,0,0,1,True,Winter,1,No,9
Sarrià-Sant Gervasi,Friday,1,15,Woman,34,2021-01-08,No,Work Departure,0,1,0,True,Winter,1,No,9
Nou Barris,Friday,1,15,Man,23,2021-01-08,No,Work Departure,0,0,1,True,Winter,1,No,9
Eixample,Friday,1,16,Woman,24,2021-01-08,No,Work Departure,0,1,0,True,Winter,1,No,9
Ciutat Vella,Friday,1,16,Woman,26,2021-01-08,No,Work Departure,0,0,1,True,Winter,1,No,9
Horta-Guinardó,Friday,1,18,Man,42,2021-01-08,No,Afternoon,0,0,1,True,Winter,1,No,9
Sant Andreu,Friday,1,18,Woman,39,2021-01-08,No,Afternoon,0,0,1,True,Winter,1,No,9
Ciutat Vella,Friday,1,19,Man,43,2021-01-08,No,Afternoon,0,1,0,True,Winter,1,No,9
Ciutat Vella,Friday,1,20,Man,41,2021-01-08,No,Afternoon,0,0,1,True,Winter,1,No,9
Eixample,Friday,1,20,Woman,34,2021-01-08,No,Afternoon,0,0,1,True,Winter,1,No,9
Les Corts,Friday,1,20,Woman,6,2021-01-08,No,Afternoon,0,0,1,True,Winter,1,No,9
Sants-Montjuïc,Friday,1,21,Man,15,2021-01-08,No,Afternoon,0,0,1,True,Winter,1,No,9
Sants-Montjuïc,Friday,1,21,Woman,26,2021-01-08,No,Afternoon,0,0,1,True,Winter,1,No,9
Gràcia,Friday,1,21,Man,31,2021-01-08,No,Afternoon,0,0,1,True,Winter,1,No,9
Eixample,Friday,1,22,Man,55,2021-01-08,No,Leisure,0,0,1,True,Winter,0,No,2
Sants-Montjuïc,Friday,1,22,Man,51,2021-01-08,No,Leisure,0,1,0,True,Winter,0,No,2
Eixample,Saturday,1,13,Man,28,2021-01-09,Yes,Morning,0,1,0,False,Winter,1,No,1
Les Corts,Saturday,1,14,Man,26,2021-01-09,Yes,Work Departure,0,1,0,False,Winter,1,No,2
Eixample,Saturday,1,16,Woman,35,2021-01-09,Yes,Work Departure,0,1,0,False,Winter,1,No,2
Sarrià-Sant Gervasi,Saturday,1,18,Man,26,2021-01-09,Yes,Afternoon,0,0,1,False,Winter,1,No,3
Sarrià-Sant Gervasi,Saturday,1,20,Man,29,2021-01-09,Yes,Afternoon,0,0,1,False,Winter,1,No,3
Sants-Montjuïc,Saturday,1,21,Woman,25,2021-01-09,Yes,Afternoon,0,1,0,False,Winter,1,No,3
Les Corts,Sunday,1,9,Woman,38,2021-01-10,Yes,Work Entrance,0,0,1,False,Winter,0,Yes,1
Sarrià-Sant Gervasi,Sunday,1,11,Man,53,2021-01-10,Yes,Morning,0,0,1,False,Winter,1,Yes,1
Gràcia,Sunday,1,15,Man,40,2021-01-10,Yes,Work Departure,0,0,1,False,Winter,1,Yes,2
Sarrià-Sant Gervasi,Sunday,1,16,Woman,52,2021-01-10,Yes,Work Departure,0,1,0,False,Winter,1,Yes,2
Sarrià-Sant Gervasi,Sunday,1,19,Woman,59,2021-01-10,Yes,Afternoon,0,1,0,False,Winter,1,Yes,1
Gràcia,Sunday,1,22,Man,28,2021-01-10,Yes,Leisure,0,0,1,False,Winter,0,Yes,1
Eixample,Monday,1,7,Man,63,2021-01-11,No,Work Entrance,0,1,0,False,Winter,1,No,5
Sant Martí,Monday,1,7,Man,62,2021-01-11,No,Work Entrance,0,0,1,False,Winter,1,No,5
Eixample,Monday,1,9,Woman,36,2021-01-11,No,Work Entrance,0,0,1,False,Winter,2,No,5
Eixample,Monday,1,9,Man,31,2021-01-11,No,Work Entrance,0,1,0,False,Winter,2,No,5
Sant Martí,Monday,1,9,Man,8,2021-01-11,No,Work Entrance,0,1,0,False,Winter,2,No,5
Sant Andreu,Monday,1,11,Woman,68,2021-01-11,No,Morning,0,0,1,False,Winter,1,No,5
Sant Martí,Monday,1,11,Woman,41,2021-01-11,No,Morning,0,1,0,False,Winter,1,No,5
Sant Martí,Monday,1,11,Man,43,2021-01-11,No,Morning,0,0,1,False,Winter,1,No,5
Eixample,Monday,1,13,Man,36,2021-01-11,No,Morning,0,0,1,False,Winter,1,No,5
Sant Martí,Monday,1,13,Woman,33,2021-01-11,No,Morning,0,0,1,False,Winter,1,No,5
Eixample,Monday,1,15,Man,22,2021-01-11,No,Work Departure,0,1,0,False,Winter,1,No,7
Eixample,Monday,1,15,Man,12,2021-01-11,No,Work Departure,0,1,0,False,Winter,1,No,7
Les Corts,Monday,1,15,Woman,30,2021-01-11,No,Work Departure,0,1,0,False,Winter,1,No,7
Les Corts,Monday,1,16,Woman,37,2021-01-11,No,Work Departure,0,0,1,False,Winter,1,No,7
Horta-Guinardó,Monday,1,16,Woman,51,2021-01-11,No,Work Departure,0,1,0,False,Winter,1,No,7
Sant Andreu,Monday,1,17,Woman,33,2021-01-11,No,Work Departure,0,0,1,False,Winter,1,No,7
Sant Martí,Monday,1,17,Woman,5,2021-01-11,No,Work Departure,0,0,1,False,Winter,1,No,7
Gràcia,Monday,1,18,Man,35,2021-01-11,No,Afternoon,0,1,0,False,Winter,1,No,6
Eixample,Monday,1,19,Woman,55,2021-01-11,No,Afternoon,0,1,0,False,Winter,1,No,6
Nou Barris,Monday,1,19,Man,29,2021-01-11,No,Afternoon,0,0,1,False,Winter,1,No,6
Eixample,Monday,1,19,Woman,4,2021-01-11,No,Afternoon,0,0,1,False,Winter,1,No,6
Sarrià-Sant Gervasi,Monday,1,20,Man,52,2021-01-11,No,Afternoon,0,0,1,False,Winter,1,No,6
Sants-Montjuïc,Monday,1,21,Woman,25,2021-01-11,No,Afternoon,0,0,1,False,Winter,1,No,6
Sant Martí,Tuesday,1,7,Man,26,2021-01-12,No,Work Entrance,0,0,1,False,Winter,1,No,3
Sants-Montjuïc,Tuesday,1,8,Man,59,2021-01-12,No,Work Entrance,0,0,1,False,Winter,2,No,3
Sant Andreu,Tuesday,1,8,Woman,34,2021-01-12,No,Work Entrance,0,0,1,False,Winter,2,No,3
Sarrià-Sant Gervasi,Tuesday,1,10,Woman,47,2021-01-12,No,Morning,0,0,1,False,Winter,1,No,11
Gràcia,Tuesday,1,10,Woman,37,2021-01-12,No,Morning,0,1,0,False,Winter,1,No,11
Eixample,Tuesday,1,11,Woman,39,2021-01-12,No,Morning,0,1,0,False,Winter,1,No,11
Sant Andreu,Tuesday,1,11,Man,41,2021-01-12,No,Morning,0,0,1,False,Winter,1,No,11
Sant Andreu,Tuesday,1,11,Man,20,2021-01-12,No,Morning,0,1,0,False,Winter,1,No,11
Nou Barris,Tuesday,1,11,Woman,86,2021-01-12,No,Morning,0,0,1,False,Winter,1,No,11
Les Corts,Tuesday,1,12,Man,27,2021-01-12,No,Morning,0,0,1,False,Winter,1,No,11
Sant Andreu,Tuesday,1,12,Man,71,2021-01-12,No,Morning,0,0,1,False,Winter,1,No,11
Sant Andreu,Tuesday,1,12,Woman,41,2021-01-12,No,Morning,0,0,1,False,Winter,1,No,11
Eixample,Tuesday,1,13,Woman,26,2021-01-12,No,Morning,0,0,1,False,Winter,1,No,11
Sants-Montjuïc,Tuesday,1,13,Man,70,2021-01-12,No,Morning,0,0,1,False,Winter,1,No,11
Eixample,Tuesday,1,16,Woman,36,2021-01-12,No,Work Departure,0,0,1,False,Winter,1,No,2
Sant Martí,Tuesday,1,17,Man,52,2021-01-12,No,Work Departure,0,0,1,False,Winter,1,No,2
Sant Martí,Tuesday,1,18,Woman,25,2021-01-12,No,Afternoon,0,0,1,False,Winter,1,No,3
Nou Barris,Tuesday,1,19,Woman,18,2021-01-12,No,Afternoon,0,0,1,False,Winter,1,No,3
Sants-Montjuïc,Tuesday,1,21,Man,40,2021-01-12,No,Afternoon,0,0,1,False,Winter,1,No,3
Gràcia,Wednesday,1,7,Man,17,2021-01-13,No,Work Entrance,0,1,0,False,Winter,1,No,3
Sant Martí,Wednesday,1,8,Woman,30,2021-01-13,No,Work Entrance,0,0,1,False,Winter,2,No,3
Gràcia,Wednesday,1,9,Man,50,2021-01-13,No,Work Entrance,0,0,1,False,Winter,2,No,3
Sarrià-Sant Gervasi,Wednesday,1,10,Man,67,2021-01-13,No,Morning,0,1,0,False,Winter,1,No,7
Eixample,Wednesday,1,11,Woman,31,2021-01-13,No,Morning,0,1,0,False,Winter,1,No,7
Eixample,Wednesday,1,11,Woman,40,2021-01-13,No,Morning,0,1,0,False,Winter,1,No,7
Sants-Montjuïc,Wednesday,1,11,Man,83,2021-01-13,No,Morning,0,0,1,False,Winter,1,No,7
Eixample,Wednesday,1,13,Man,50,2021-01-13,No,Morning,0,0,1,False,Winter,1,No,7
Nou Barris,Wednesday,1,13,Man,33,2021-01-13,No,Morning,0,0,1,False,Winter,1,No,7
Eixample,Wednesday,1,13,Woman,80,2021-01-13,No,Morning,0,0,1,False,Winter,1,No,7
Les Corts,Wednesday,1,14,Man,6,2021-01-13,No,Work Departure,0,0,1,False,Winter,1,No,6
Sant Martí,Wednesday,1,14,Man,81,2021-01-13,No,Work Departure,0,0,1,False,Winter,1,No,6
Eixample,Wednesday,1,14,Man,39,2021-01-13,No,Work Departure,0,0,1,False,Winter,1,No,6
Sant Andreu,Wednesday,1,14,Man,17,2021-01-13,No,Work Departure,0,1,0,False,Winter,1,No,6
Horta-Guinardó,Wednesday,1,15,Woman,35,2021-01-13,No,Work Departure,0,0,1,False,Winter,1,No,6
Sants-Montjuïc,Wednesday,1,17,Woman,34,2021-01-13,No,Work Departure,0,0,1,False,Winter,1,No,6
Sant Martí,Wednesday,1,19,Woman,60,2021-01-13,No,Afternoon,0,0,1,False,Winter,1,No,4
Eixample,Wednesday,1,20,Woman,63,2021-01-13,No,Afternoon,0,0,1,False,Winter,1,No,4
Sarrià-Sant Gervasi,Wednesday,1,20,Woman,27,2021-01-13,No,Afternoon,0,1,0,False,Winter,1,No,4
Les Corts,Wednesday,1,21,Man,28,2021-01-13,No,Afternoon,0,0,1,False,Winter,1,No,4
Sant Martí,Wednesday,1,22,Man,33,2021-01-13,No,Leisure,0,0,1,False,Winter,0,No,1
Eixample,Thursday,1,8,Man,63,2021-01-14,No,Work Entrance,0,1,0,False,Winter,2,No,1
Sant Martí,Thursday,1,10,Man,47,2021-01-14,No,Morning,0,0,1,False,Winter,1,No,4
Sants-Montjuïc,Thursday,1,12,Man,22,2021-01-14,No,Morning,0,0,1,False,Winter,1,No,4
