Case_number,Type_of_vehicle,License type,Age license
2021S006893    ,Motorcycle,A,1
2022S000538    ,Motorcycle,A2,1
2022S003627    ,Rigid truck <= 3.5 tonnes,B,1
2021S000147    ,Tourism,B,1
2022S007497    ,Tourism,B,1
2022S000652    ,Motorcycle,B,1
2022S004890    ,Tourism,B,1
2021S003311    ,Motorcycle,A,1
2022S002445    ,Rigid truck <= 3.5 tonnes,E D,1
2022S000742    ,Tourism,B,1
2022S007476    ,Tourism,B,1
2022S006518    ,Bus,D,1
2021S004349    ,Tourism,B,1
2022S007975    ,Tourism,B,1
2022S002688    ,Motorcycle,A,1
2022S001108    ,Motorcycle,A2,1
2022S007310    ,Tourism,B,1
2022S005360    ,Van,B,1
2022S000519    ,Motorcycle,A2,1
2022S006853    ,Tourism,B,1
2022S005459    ,Tourism,B,1
2022S000856    ,Tourism,B,1
2021S002697    ,Motorcycle,A2,1
2022S001758    ,Veh. motor personal mobility,B,1
2022S005877    ,Motorcycle,A,1
2022S001817    ,Veh. motor personal mobility,B,1
2022S003170    ,Motorcycle,B,1
2022S000987    ,Rigid truck > 3.5 tonnes,B,1
2022S000203    ,Tourism,B,1
2022S005615    ,Motorcycle,A2,1
2022S004201    ,Bus,D,1
2022S006006    ,Van,B,1
2021S005534    ,Veh. motor personal mobility,B,1
2022S005914    ,Tourism,B,1
2021S004187    ,Motorcycle,A2,1
2021S006104    ,Ciclomotor,B,1
2022S002542    ,Motorcycle,A2,1
2022S004878    ,Ciclomotor,B,1
2022S002124    ,Motorcycle,B,1
2022S002843    ,Motorcycle,A,1
2022S006551    ,Motorcycle,A2,1
2022S005356    ,Tourism,B,1
2022S000615    ,Tourism,B,1
2022S004095    ,Tourism,B,1
2022S006019    ,Motorcycle,A,1
2022S005955    ,Bus,D,1
2022S000511    ,Tourism,B,1
2022S001768    ,Bus,D,1
2022S005871    ,Van,B,1
2022S001434    ,Van,B,1
2022S001434    ,Motorcycle,A2,1
2022S003817    ,Motorcycle,A2,1
2022S000106    ,Motorcycle,A1,1
2022S001839    ,Motorcycle,A1,1
2022S001552    ,Motorcycle,A,1
2022S000283    ,Tourism,B,1
2021S001335    ,Van,B,1
2022S002530    ,Ciclomotor,B,1
2022S004904    ,Tourism,B,1
2021S006453    ,Motorcycle,A,1
2022S003967    ,Bus,D,1
2022S005500    ,Ciclomotor,B,1
2022S002153    ,Motorcycle,A2,1
2022S007010    ,Van,B,1
2022S004242    ,Motorcycle,A2,1
2022S002356    ,Motorcycle,A,1
2022S002912    ,Motorcycle,A2,1
2022S005598    ,Motorcycle,B,1
2022S006278    ,Motorcycle,A,1
2021S005356    ,Ciclomotor,B,1
2021S002208    ,Tourism,B,1
2022S001350    ,Ciclomotor,B,1
2022S002665    ,Veh. motor personal mobility,B,1
2022S003862    ,Bus,D,1
2022S006474    ,Motorcycle,B,1
2021S001735    ,Tourism,B,1
2022S005313    ,Motorcycle,A2,1
2022S000612    ,Motorcycle,A2,1
2021S003180    ,Motorcycle,A2,1
2022S005266    ,Tourism,B,1
2021S001093    ,Motorcycle,A,1
2021S002096    ,Motorcycle,A2,1
2022S007912    ,Tourism,B,1
2022S000425    ,Ciclomotor,AM,1
