Numero_expedient,Descripcio_causa_mediata
2021S000402    ,No hi ha causa mediata
2021S000405    ,No hi ha causa mediata
2021S000413    ,No hi ha causa mediata
2021S000407    ,Alcoholèmia
2021S000409    ,No hi ha causa mediata
2021S000410    ,No hi ha causa mediata
2021S000401    ,No hi ha causa mediata
2021S000414    ,No hi ha causa mediata
2021S000394    ,No hi ha causa mediata
2021S000397    ,No hi ha causa mediata
2021S000395    ,No hi ha causa mediata
2021S000400    ,No hi ha causa mediata
2021S000435    ,No hi ha causa mediata
2021S000415    ,No hi ha causa mediata
2021S000426    ,No hi ha causa mediata
2021S000428    ,No hi ha causa mediata
2021S000424    ,No hi ha causa mediata
2021S000429    ,No hi ha causa mediata
2021S000431    ,No hi ha causa mediata
2021S000425    ,No hi ha causa mediata
2021S000438    ,No hi ha causa mediata
2021S000417    ,No hi ha causa mediata
2021S000433    ,No hi ha causa mediata
2021S000416    ,No hi ha causa mediata
2021S000448    ,Drogues o medicaments
2021S000419    ,No hi ha causa mediata
2021S000418    ,No hi ha causa mediata
2021S000434    ,No hi ha causa mediata
2021S000421    ,No hi ha causa mediata
2021S000432    ,Alcoholèmia
2021S000427    ,No hi ha causa mediata
2021S001651    ,No hi ha causa mediata
2021S000430    ,No hi ha causa mediata
2021S000423    ,No hi ha causa mediata
2021S000436    ,No hi ha causa mediata
2021S000422    ,No hi ha causa mediata
2021S000420    ,No hi ha causa mediata
2021S000453    ,No hi ha causa mediata
2021S000441    ,No hi ha causa mediata
2021S000452    ,No hi ha causa mediata
2021S000446    ,No hi ha causa mediata
2021S000454    ,No hi ha causa mediata
2021S000447    ,No hi ha causa mediata
2021S000456    ,No hi ha causa mediata
2021S000451    ,No hi ha causa mediata
2021S000458    ,No hi ha causa mediata
2021S000460    ,No hi ha causa mediata
2021S000442    ,No hi ha causa mediata
2021S000440    ,No hi ha causa mediata
2021S000443    ,No hi ha causa mediata
2021S000461    ,Objectes o animals a la calçada
2021S000437    ,No hi ha causa mediata
2021S000457    ,No hi ha causa mediata
2021S000449    ,No hi ha causa mediata
2021S000459    ,No hi ha causa mediata
2021S000455    ,No hi ha causa mediata
2021S000445    ,No hi ha causa mediata
2021S000450    ,No hi ha causa mediata
2021S000444    ,No hi ha causa mediata
2021S000439    ,No hi ha causa mediata
2021S000472    ,No hi ha causa mediata
2021S000481    ,Alcoholèmia
2021S000480    ,No hi ha causa mediata
2021S000469    ,No hi ha causa mediata
2021S000470    ,No hi ha causa mediata
2021S000463    ,No hi ha causa mediata
2021S000498    ,No hi ha causa mediata
2021S000474    ,No hi ha causa mediata
2021S000475    ,No hi ha causa mediata
2021S000468    ,No hi ha causa mediata
2021S000464    ,No hi ha causa mediata
2021S000477    ,No hi ha causa mediata
2021S000465    ,No hi ha causa mediata
2021S000479    ,Excés de velocitat o inadequada
2021S000467    ,No hi ha causa mediata
2021S000466    ,No hi ha causa mediata
2021S000476    ,No hi ha causa mediata
2021S000478    ,No hi ha causa mediata
2021S000462    ,No hi ha causa mediata
2021S000471    ,No hi ha causa mediata
2021S000485    ,No hi ha causa mediata
2021S000484    ,No hi ha causa mediata
2021S000483    ,No hi ha causa mediata
2021S000482    ,No hi ha causa mediata
2021S000486    ,No hi ha causa mediata
2021S000487    ,No hi ha causa mediata
2021S000488    ,No hi ha causa mediata
2021S000492    ,No hi ha causa mediata
2021S000491    ,No hi ha causa mediata
2021S000489    ,No hi ha causa mediata
2021S000490    ,No hi ha causa mediata
2021S000495    ,No hi ha causa mediata
2021S000500    ,No hi ha causa mediata
2021S000501    ,No hi ha causa mediata
2021S000511    ,No hi ha causa mediata
2021S000510    ,No hi ha causa mediata
2021S000504    ,No hi ha causa mediata
2021S000507    ,Objectes o animals a la calçada
2021S000509    ,No hi ha causa mediata
2021S000506    ,No hi ha causa mediata
2021S000503    ,No hi ha causa mediata
2021S000494    ,No hi ha causa mediata
2021S000497    ,No hi ha causa mediata
2021S000508    ,No hi ha causa mediata
2021S000496    ,No hi ha causa mediata
2021S000493    ,No hi ha causa mediata
2021S000502    ,No hi ha causa mediata
2021S000505    ,No hi ha causa mediata
2021S000499    ,No hi ha causa mediata
2021S000544    ,No hi ha causa mediata
2021S000539    ,No hi ha causa mediata
2021S000536    ,No hi ha causa mediata
2021S000514    ,No hi ha causa mediata
2021S000520    ,No hi ha causa mediata
2021S000540    ,No hi ha causa mediata
2021S000530    ,No hi ha causa mediata
2021S000533    ,No hi ha causa mediata
2021S000522    ,No hi ha causa mediata
2021S000528    ,No hi ha causa mediata
2021S000525    ,No hi ha causa mediata
2021S000537    ,No hi ha causa mediata
2021S000531    ,No hi ha causa mediata
2021S000534    ,No hi ha causa mediata
2021S000535    ,No hi ha causa mediata
2021S000545    ,No hi ha causa mediata
2021S000523    ,No hi ha causa mediata
2021S000543    ,No hi ha causa mediata
2021S000538    ,No hi ha causa mediata
2021S000515    ,No hi ha causa mediata
2021S000541    ,No hi ha causa mediata
2021S000512    ,No hi ha causa mediata
2021S000527    ,No hi ha causa mediata
2021S000519    ,No hi ha causa mediata
2021S000532    ,No hi ha causa mediata
2021S000516    ,No hi ha causa mediata
2021S000517    ,No hi ha causa mediata
2021S000529    ,No hi ha causa mediata
2021S000513    ,No hi ha causa mediata
2021S000521    ,No hi ha causa mediata
2021S000542    ,Calçada en mal estat
2021S000524    ,No hi ha causa mediata
2021S000518    ,No hi ha causa mediata
2021S000526    ,No hi ha causa mediata
2021S000554    ,No hi ha causa mediata
2021S000560    ,No hi ha causa mediata
2021S000561    ,No hi ha causa mediata
2021S000549    ,No hi ha causa mediata
2021S000550    ,No hi ha causa mediata
2021S000551    ,No hi ha causa mediata
2021S000557    ,No hi ha causa mediata
2021S000562    ,No hi ha causa mediata
2021S000558    ,No hi ha causa mediata
2021S000556    ,No hi ha causa mediata
2021S000548    ,No hi ha causa mediata
2021S000546    ,No hi ha causa mediata
2021S000547    ,No hi ha causa mediata
2021S000552    ,No hi ha causa mediata
2021S000553    ,No hi ha causa mediata
2021S000555    ,No hi ha causa mediata
2021S000559    ,No hi ha causa mediata
2021S000574    ,No hi ha causa mediata
2021S000583    ,No hi ha causa mediata
2021S000572    ,No hi ha causa mediata
2021S000628    ,No hi ha causa mediata
2021S000581    ,No hi ha causa mediata
2021S000580    ,No hi ha causa mediata
2021S000578    ,No hi ha causa mediata
2021S000565    ,No hi ha causa mediata
2021S000589    ,Objectes o animals a la calçada
2021S000579    ,No hi ha causa mediata
2021S000566    ,No hi ha causa mediata
2021S000568    ,No hi ha causa mediata
2021S000585    ,No hi ha causa mediata
2021S000573    ,No hi ha causa mediata
2021S000584    ,No hi ha causa mediata
2021S000575    ,No hi ha causa mediata
2021S000563    ,No hi ha causa mediata
2021S000582    ,No hi ha causa mediata
2021S000567    ,Calçada en mal estat
2021S000569    ,No hi ha causa mediata
2021S000576    ,No hi ha causa mediata
2021S000570    ,No hi ha causa mediata
2021S000577    ,Alcoholèmia
2021S000571    ,No hi ha causa mediata
2021S000564    ,No hi ha causa mediata
2021S000643    ,Excés de velocitat o inadequada
2021S000611    ,Alcoholèmia
2021S000609    ,No hi ha causa mediata
2021S000587    ,No hi ha causa mediata
2021S000590    ,No hi ha causa mediata
2021S000591    ,No hi ha causa mediata
2021S000593    ,No hi ha causa mediata
2021S000603    ,No hi ha causa mediata
2021S000597    ,No hi ha causa mediata
2021S000598    ,No hi ha causa mediata
2021S000608    ,No hi ha causa mediata
2021S000588    ,No hi ha causa mediata
2021S000612    ,No hi ha causa mediata
2021S000602    ,No hi ha causa mediata
2021S000592    ,No hi ha causa mediata
2021S000586    ,No hi ha causa mediata
2021S000606    ,No hi ha causa mediata
2021S000594    ,No hi ha causa mediata
2021S000599    ,No hi ha causa mediata
2021S000604    ,No hi ha causa mediata
2021S000601    ,No hi ha causa mediata
2021S000596    ,No hi ha causa mediata
2021S000600    ,No hi ha causa mediata
2021S000610    ,No hi ha causa mediata
2021S000595    ,No hi ha causa mediata
2021S000605    ,No hi ha causa mediata
2021S000607    ,Calçada en mal estat
2021S000624    ,No hi ha causa mediata
