EMA;DATA;TM;TX;Data Extrem TX;TN;Data Extrem TN;HRM;HRX;Data Extrem HRX;HRN;Data Extrem HRN;PM;PX;Data Extrem PX;PN;Data Extrem PN;PPT;RS24h;VVM10;DVM10;VVX10;Data Extrem VVX10;DVVX10
X4;31/01/2021;14,4;18,2;2021-01-31 15:18:00;11,5;2021-01-31 07:34:00;50;60;2021-01-31 23:59:00;39;2021-01-31 15:34:00;998,6;1000,2;2021-01-31 09:51:00;997,3;2021-01-31 20:35:00;0;9,7;5,8;307;18,2;2021-01-31 11:02:00;302
X4;01/02/2021;16,9;20,7;2021-02-01 13:48:00;13,9;2021-02-01 00:13:00;47;62;2021-02-01 01:15:00;32;2021-02-01 14:35:00;1000,5;1006,8;2021-02-01 23:58:00;996,4;2021-02-01 03:13:00;0,1;12,1;4,6;314;16,9;2021-02-01 14:09:00;329
X4;02/02/2021;16,2;21,2;2021-02-02 12:23:00;13,1;2021-02-02 07:30:00;57;69;2021-02-02 23:59:00;42;2021-02-02 12:24:00;1009,1;1011,1;2021-02-02 10:12:00;1006,7;2021-02-02 00:39:00;0;11,9;2;260;8;2021-02-02 04:45:00;322
X4;03/02/2021;16,1;21,1;2021-02-03 13:52:00;12,9;2021-02-03 04:36:00;60;94;2021-02-03 23:37:00;39;2021-02-03 11:44:00;1008,1;1010,6;2021-02-03 23:02:00;1006,6;2021-02-03 13:37:00;0;9,2;1,9;248;7,4;2021-02-03 11:21:00;279
X4;04/02/2021;12,7;15,4;2021-02-04 10:44:00;11,5;2021-02-04 17:30:00;87;98;2021-02-04 16:58:00;73;2021-02-04 10:45:00;1009,1;1010,6;2021-02-04 10:04:00;1007,3;2021-02-04 14:34:00;0;8,1;1;127;4,6;2021-02-04 14:18:00;154
X4;05/02/2021;13,2;15,5;2021-02-05 11:08:00;11,9;2021-02-05 07:30:00;81;94;2021-02-05 19:30:00;62;2021-02-05 11:10:00;1006;1009,2;2021-02-05 00:06:00;1001,4;2021-02-05 23:59:00;0;9,8;2,5;80;8,8;2021-02-05 11:55:00;69
X4;06/02/2021;14,9;17,4;2021-02-06 14:43:00;13,2;2021-02-06 21:30:00;72;90;2021-02-06 19:32:00;60;2021-02-06 22:48:00;997,5;1001,5;2021-02-06 00:00:00;995,4;2021-02-06 14:33:00;0;9,1;2,5;174;8,8;2021-02-06 14:46:00;252
X4;07/02/2021;11,7;14,7;2021-02-07 12:20:00;10,3;2021-02-07 09:30:00;65;78;2021-02-07 03:40:00;45;2021-02-07 12:59:00;998,7;1000,1;2021-02-07 19:01:00;996,8;2021-02-07 00:34:00;2,1;8,1;1,8;328;7,1;2021-02-07 23:40:00;257
X4;08/02/2021;11,7;14,4;2021-02-08 09:31:00;10,4;2021-02-08 06:15:00;64;96;2021-02-08 13:37:00;49;2021-02-08 09:31:00;996,1;998,8;2021-02-08 23:57:00;992,9;2021-02-08 14:37:00;7,7;4,7;1,9;267;8,6;2021-02-08 16:57:00;308
X4;09/02/2021;12,7;15,3;2021-02-09 10:57:00;10,2;2021-02-09 06:01:00;62;73;2021-02-09 20:23:00;47;2021-02-09 10:53:00;999,2;1001,8;2021-02-09 07:30:00;996,4;2021-02-09 19:34:00;0;5,5;3,2;261;10,4;2021-02-09 15:56:00;257
